0:0:0:0:0:0:0:1 - - [10/May/2020:16:33:24 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7355
0:0:0:0:0:0:0:1 - - [10/May/2020:16:33:26 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7355
0:0:0:0:0:0:0:1 - - [10/May/2020:16:33:34 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7355
0:0:0:0:0:0:0:1 - - [10/May/2020:16:36:51 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [10/May/2020:16:37:28 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7332
0:0:0:0:0:0:0:1 - - [10/May/2020:16:37:41 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [10/May/2020:16:37:43 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [10/May/2020:16:37:50 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7332
0:0:0:0:0:0:0:1 - - [10/May/2020:16:37:55 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7332
0:0:0:0:0:0:0:1 - - [10/May/2020:16:37:56 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7355
0:0:0:0:0:0:0:1 - - [10/May/2020:16:37:57 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7355
0:0:0:0:0:0:0:1 - - [10/May/2020:16:38:15 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7322
0:0:0:0:0:0:0:1 - - [10/May/2020:16:38:15 +0700] "GET /MyBatis_MySQL/sort/ADDRESS HTTP/1.1" 200 7308
0:0:0:0:0:0:0:1 - - [10/May/2020:16:38:16 +0700] "GET /MyBatis_MySQL/sort/DATE_OF_BIRTH HTTP/1.1" 200 7319
0:0:0:0:0:0:0:1 - - [10/May/2020:16:38:17 +0700] "GET /MyBatis_MySQL/sort/STUDENT_CODE HTTP/1.1" 200 7316
0:0:0:0:0:0:0:1 - - [10/May/2020:16:38:29 +0700] "GET /MyBatis_MySQL/page/2 HTTP/1.1" 200 5476
0:0:0:0:0:0:0:1 - - [10/May/2020:16:38:30 +0700] "GET /MyBatis_MySQL/page/1 HTTP/1.1" 200 7316
0:0:0:0:0:0:0:1 - - [10/May/2020:16:38:31 +0700] "GET /MyBatis_MySQL/page/2 HTTP/1.1" 200 5476
